GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cardmanagement,com.aegis.cardmanagement.security,WebSecurityConfig,0,79,0,0,0,15,0,2,0,2
cardmanagement,com.aegis.cardmanagement.security,OrganizationFilter,44,0,2,0,12,0,3,0,2,0
cardmanagement,com.aegis.cardmanagement.utils,DeviceManager,215,0,12,0,39,0,10,0,4,0
cardmanagement,com.aegis.cardmanagement.utils,Helper,3,49,2,4,1,13,3,3,1,2
cardmanagement,com.aegis.cardmanagement,CardmanagementApplication,5,3,0,0,2,1,1,1,1,1
cardmanagement,com.aegis.cardmanagement.pojos,CardRequest,152,17,30,0,1,3,21,5,6,5
cardmanagement,com.aegis.cardmanagement.pojos,CardActionRequest,0,24,0,0,0,5,0,7,0,7
cardmanagement,com.aegis.cardmanagement.service,CardService,56,171,8,6,14,40,10,10,3,10
cardmanagement,com.aegis.cardmanagement.service,CardActionService,96,92,12,3,32,25,15,7,5,7
cardmanagement,com.aegis.cardmanagement.swagger,SpringFoxConfig,17,0,0,0,7,0,2,0,2,0
cardmanagement,com.aegis.cardmanagement.controller,CardActionController,56,47,0,0,14,14,0,4,0,4
cardmanagement,com.aegis.cardmanagement.controller,CardController,64,90,0,0,16,24,0,7,0,7
cardmanagement,com.aegis.cardmanagement.exception,SystemException,4,0,0,0,2,0,1,0,1,0
cardmanagement,com.aegis.cardmanagement.exception,ActionNotFound,4,0,0,0,2,0,1,0,1,0
cardmanagement,com.aegis.cardmanagement.exception,NoCardAvailable,4,0,0,0,2,0,1,0,1,0
cardmanagement,com.aegis.cardmanagement.exception,CardAlreadyExists,4,0,0,0,2,0,1,0,1,0
cardmanagement,com.aegis.cardmanagement.exception,CardNotFound,4,0,0,0,2,0,1,0,1,0
cardmanagement,com.aegis.cardmanagement.exception,CardToActionMismatch,4,0,0,0,2,0,1,0,1,0
cardmanagement,com.aegis.cardmanagement.modal,Card,11,52,0,0,1,11,3,12,3,12
cardmanagement,com.aegis.cardmanagement.modal,CardAction.ActionStatus,0,24,0,0,0,1,0,1,0,1
cardmanagement,com.aegis.cardmanagement.modal,CardAction.ActionCreationType,0,24,0,0,0,1,0,1,0,1
cardmanagement,com.aegis.cardmanagement.modal,Card.Status,0,44,0,0,0,1,0,1,0,1
cardmanagement,com.aegis.cardmanagement.modal,CardAction.ActionType,0,84,0,0,0,1,0,1,0,1
cardmanagement,com.aegis.cardmanagement.modal,CardAction,7,62,0,0,1,11,2,17,2,17
